dataset,hypothesis,alpha,run_id,ari
H1-Hard,H1,0.5,29,0.9949958125176231
H1-Hard,H1,1.0,0,0.9949958125176231
H1-Hard,H1,1.0,1,0.9949958125176231
H1-Hard,H1,1.0,2,0.9949958125176231
H1-Hard,H1,1.0,3,0.9949958125176231
H1-Hard,H1,1.0,4,0.9949958125176231
H1-Hard,H1,1.0,5,0.9949958125176231
H1-Hard,H1,1.0,6,0.9949958125176231
H1-Hard,H1,1.0,7,0.9949958125176231
H1-Hard,H1,1.0,8,0.9949958125176231
H1-Hard,H1,1.0,9,0.9949958125176231
H1-Hard,H1,1.0,10,0.9949958125176231
H1-Hard,H1,1.0,11,0.9949958125176231
H1-Hard,H1,1.0,12,0.9949958125176231
H1-Hard,H1,1.0,13,0.9949958125176231
H1-Hard,H1,1.0,14,0.9949958125176231
H1-Hard,H1,1.0,15,0.9949958125176231
H1-Hard,H1,1.0,16,0.9949958125176231
H1-Hard,H1,1.0,17,0.9949958125176231
H1-Hard,H1,1.0,18,0.9949958125176231
H1-Hard,H1,1.0,19,0.9949958125176231
H1-Hard,H1,1.0,20,0.9949958125176231
H1-Hard,H1,1.0,21,0.9949958125176231
H1-Hard,H1,1.0,22,0.9949958125176231
H1-Hard,H1,1.0,23,0.9949958125176231
H1-Hard,H1,1.0,24,0.9949958125176231
H1-Hard,H1,1.0,25,0.9949958125176231
H1-Hard,H1,1.0,26,0.9949958125176231
H1-Hard,H1,1.0,27,0.9949958125176231
H1-Hard,H1,1.0,28,0.9949958125176231
H1-Hard,H1,1.0,29,0.9949958125176231
H2-Easy,H2,0.0,0,0.10704684171087545
H2-Easy,H2,0.0,1,0.1081023031502481
H2-Easy,H2,0.0,2,0.1081023031502481
H2-Easy,H2,0.0,3,0.10704684171087545
H2-Easy,H2,0.0,4,0.10704684171087545
H2-Easy,H2,0.0,5,0.1081023031502481
H2-Easy,H2,0.0,6,0.1081023031502481
H2-Easy,H2,0.0,7,0.10704684171087545
H2-Easy,H2,0.0,8,0.1081023031502481
H2-Easy,H2,0.0,9,0.10704684171087545
H2-Easy,H2,0.0,10,0.1081023031502481
H2-Easy,H2,0.0,11,0.10704684171087545
H2-Easy,H2,0.0,12,0.1081023031502481
H2-Easy,H2,0.0,13,0.10704684171087545
H2-Easy,H2,0.0,14,0.1081023031502481
H2-Easy,H2,0.0,15,0.1081023031502481
H2-Easy,H2,0.0,16,0.1081023031502481
H2-Easy,H2,0.0,17,0.10704684171087545
H2-Easy,H2,0.0,18,0.1081023031502481
H2-Easy,H2,0.0,19,0.1081023031502481
H2-Easy,H2,0.0,20,0.10704684171087545
H2-Easy,H2,0.0,21,0.10704684171087545
H2-Easy,H2,0.0,22,0.10704684171087545
H2-Easy,H2,0.0,23,0.1081023031502481
H2-Easy,H2,0.0,24,0.10704684171087545
H2-Easy,H2,0.0,25,0.1081023031502481
H2-Easy,H2,0.0,26,0.10704684171087545
H2-Easy,H2,0.0,27,0.1081023031502481
H2-Easy,H2,0.0,28,0.1081023031502481
H2-Easy,H2,0.0,29,0.1081023031502481
H2-Easy,H2,0.3,0,0.10704684171087545
H2-Easy,H2,0.3,1,0.1081023031502481
H2-Easy,H2,0.3,2,0.1081023031502481
H2-Easy,H2,0.3,3,0.10704684171087545
H2-Easy,H2,0.3,4,0.10704684171087545
H2-Easy,H2,0.3,5,0.1081023031502481
H2-Easy,H2,0.3,6,0.1081023031502481
H2-Easy,H2,0.3,7,0.10704684171087545
H2-Easy,H2,0.3,8,0.1081023031502481
H2-Easy,H2,0.3,9,0.10704684171087545
H2-Easy,H2,0.3,10,0.1081023031502481
H2-Easy,H2,0.3,11,0.10704684171087545
H2-Easy,H2,0.3,12,0.1081023031502481
H2-Easy,H2,0.3,13,0.10704684171087545
H2-Easy,H2,0.3,14,0.1081023031502481
H2-Easy,H2,0.3,15,0.1081023031502481
H2-Easy,H2,0.3,16,0.1081023031502481
H2-Easy,H2,0.3,17,0.10704684171087545
H2-Easy,H2,0.3,18,0.1081023031502481
H2-Easy,H2,0.3,19,0.1081023031502481
H2-Easy,H2,0.3,20,0.10704684171087545
H2-Easy,H2,0.3,21,0.10704684171087545
H2-Easy,H2,0.3,22,0.10704684171087545
H2-Easy,H2,0.3,23,0.1081023031502481
H2-Easy,H2,0.3,24,0.10704684171087545
H2-Easy,H2,0.3,25,0.1081023031502481
H2-Easy,H2,0.3,26,0.10704684171087545
