dataset,gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
Automobile,0.001,-3.0,1571.696874638301,20.001913828935812,0.15115410629511725,0.049959088715385645
Automobile,0.0014251026703029977,-2.8461538461538463,1641.6892573776613,38.2209907732846,0.16011154229551353,0.04183804252769092
Automobile,0.002030917620904735,-2.6923076923076925,1571.7118015245642,16.868638226769576,0.19991207812507336,0.004979048599774799
Automobile,0.0028942661247167516,-2.5384615384615383,1585.41318629461,36.59696952939885,0.2186871854724477,0.013260373847224657
Automobile,0.004124626382901352,-2.3846153846153846,1587.3942707415613,69.63354758353853,0.15020638495747973,0.008245064293682644
Automobile,0.0058780160722749115,-2.230769230769231,1635.7220348822066,53.03472132037825,0.12712143054156175,0.004452324316253815
Automobile,0.008376776400682925,-2.0769230769230766,1545.9672224271735,24.242554198776247,0.22047597660484008,0.005586230448390531
Automobile,0.01193776641714437,-1.923076923076923,1541.885841605344,44.956325164514055,0.1797759019530954,0.019901752391346686
Automobile,0.017012542798525893,-1.7692307692307692,1639.07368821653,71.4811337700578,0.2087331934290523,0.013116114060756107
Automobile,0.024244620170823284,-1.6153846153846154,1601.1748687773468,28.148727888474014,0.11642424017538426,0.031383493419023925
Automobile,0.0345510729459222,-1.4615384615384615,1589.0813749438812,6.761406608010816,0.137549035651862,0.057453797207832204
Automobile,0.04923882631706741,-1.3076923076923075,1664.761844408691,15.865080242351837,0.1780086961055263,0.01858812136078858
Automobile,0.07017038286703829,-1.1538461538461537,1639.00589702422,53.59441242542857,0.16873324200787063,0.016635942018684763
Automobile,0.1,-1.0,1559.8465717508107,4.747107052670458,0.20310695161088316,0.0054239469528362255
Automobile,0.14251026703029993,-0.8461538461538458,1587.9883407074685,8.192578011938508,0.1775867381081791,0.0391899894143866
Automobile,0.2030917620904737,-0.6923076923076921,1616.9031767576155,36.96176197889895,0.21915591258442108,0.02429338856150874
Automobile,0.28942661247167517,-0.5384615384615383,1726.6559408383428,33.73781794536103,0.17133831747402517,0.0329018944738438
Automobile,0.41246263829013524,-0.3846153846153846,1811.5254889549592,7.071111792042416,0.1405114210528286,0.026575122124726965
Automobile,0.5878016072274912,-0.23076923076923084,1842.9536208373515,33.11191495652042,0.20832696547356527,0.029777921314957753
Automobile,0.8376776400682924,-0.07692307692307668,1926.6156090147074,95.3132006250363,0.191620671261443,0.009364820988768702
Automobile,1.1937766417144369,0.07692307692307705,2077.568617862111,16.426421277408508,0.15946351381738064,0.03942775436258644
Automobile,1.7012542798525891,0.23076923076923084,2300.8777279573396,30.385915257335228,0.14729752431089826,0.05791534816575324
Automobile,2.424462017082331,0.384615384615385,2535.089575842359,52.10129340713502,0.12703777358460136,0.04530884054239523
Automobile,3.4551072945922217,0.5384615384615388,3030.561939817774,18.742888419092196,0.13651497340992327,0.04013710985606814
Automobile,4.923882631706742,0.6923076923076925,3588.451324795851,49.525184141958334,0.2122281410331976,0.006120894622593673
Automobile,7.01703828670383,0.8461538461538463,4467.712756184891,13.294083013801355,0.07171465731919438,0.005321182684126853
Automobile,10.0,1.0,5592.577273560351,81.24274610019665,0.1711534372965655,0.03809498263492146
Automobile,14.251026703029993,1.1538461538461542,7269.583621149306,9.215746600625607,0.127322639993177,0.02531927233225542
Automobile,20.30917620904739,1.3076923076923084,9560.435637142273,0.2493636022290957,0.12369218708702072,0.002033864375431113
Automobile,28.942661247167518,1.4615384615384617,12716.07688806394,0.23397881461369252,0.11632389025110508,0.0050239819700278465
Automobile,41.246263829013564,1.6153846153846159,17347.282226457857,155.86275625329654,0.11582326417931901,0.0018780705152980984
Automobile,58.780160722749116,1.7692307692307692,23638.56631621506,1.73064127365069,0.12253851227023155,0.0011906400490986208
Automobile,83.76776400682924,1.9230769230769234,32865.51537901413,0.0,0.11619465518826379,0.0
Automobile,119.37766417144383,2.0769230769230775,45875.08339695817,59.26534246951269,0.11634162095525875,0.00014696576699496644
Automobile,170.1254279852589,2.230769230769231,64390.93413429364,1.73064127365069,0.12253851227023155,0.0011906400490986208
Automobile,242.44620170823308,2.384615384615385,91097.0263184776,0.0,0.11382185574091648,0.0
Automobile,345.5107294592218,2.5384615384615383,128749.00462123891,172.70338185151195,0.11137893573771865,0.002442920003197825
Automobile,492.3882631706742,2.6923076923076925,182341.92458862034,487.3139835248003,0.11575809134423634,0.00043656384402743914
Automobile,701.7038286703837,2.8461538461538467,259299.20526843073,348.8458421077521,0.11996190375379698,0.0037672485655331905
Automobile,1000.0,3.0,368624.75206073525,497.99392777250614,0.11996190375379698,0.0037672485655331905
