gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
0.001,-3.0,2844.955785258152,1.285289859442173,-0.0022736077873429386,0.0011712494686055104
0.0017782794100389228,-2.75,2848.1066631641966,0.0,-0.0009049190935142188,0.0
0.0031622776601683794,-2.5,2875.2535025729985,7.824048418023949,-0.002213565875409714,0.024663693286023247
0.005623413251903491,-2.25,2860.319879763985,5.145888977733648,0.004863573220696971,0.004007952516977069
0.01,-2.0,2865.241546266081,0.7155985178153514,-0.0022790500210968113,0.0051141409911248294
0.01778279410038923,-1.75,2885.339276384011,0.19031972259335816,0.0009249860416257211,0.00436984329757417
0.03162277660168379,-1.5,2916.3896961383016,0.1705453853335257,-0.006197305281756313,0.002226016908857449
0.05623413251903491,-1.25,2995.2743728639257,13.892755077508355,0.02034654256997605,0.005895791593450528
0.1,-1.0,3095.865458460531,17.420668218119317,0.012668707534956181,0.0135736266284704
0.1778279410038923,-0.75,3259.7604459379736,0.20291696638491885,-0.002987279631429666,0.00026702285207710376
0.31622776601683794,-0.5,3606.928347697776,20.932000093764145,0.012642609190320776,0.009807518220292757
0.5623413251903491,-0.25,4180.075371640126,33.28913342519627,0.009418412616762609,0.013031714793850924
1.0,0.0,5194.339949459124,56.106456717122455,-0.010663403867171578,0.008182337391667129
1.7782794100389228,0.25,6860.334301019549,0.07750699015468854,-0.006259543427618872,0.0006110001510422482
3.1622776601683795,0.5,9851.14829951782,0.021087270709358563,-0.01674349475809464,0.00047159665327249634
5.623413251903491,0.75,15074.068519263004,1.2862197421537486e-12,-0.016477027356821747,0.0
10.0,1.0,24340.007203955473,0.0,-0.017355728781791382,0.0
17.78279410038923,1.25,40816.18231447946,0.0,-0.017355728781791382,0.0
31.622776601683793,1.5,70115.42526972003,0.0,-0.017355728781791382,0.0
56.23413251903491,1.75,122217.66574675242,0.0,-0.017355728781791382,0.0
100.0,2.0,214870.0072039555,0.0,-0.017355728781791382,0.0
177.82794100389228,2.25,379631.7583091955,0.0,-0.017355728781791382,0.0
316.22776601683796,2.5,672624.1878616009,0.0,-0.017355728781791382,0.0
562.341325190349,2.75,1193646.5926319237,0.0,-0.017355728781791382,0.0
1000.0,3.0,2120170.007203956,0.0,-0.017355728781791382,0.0
