dataset,spearman_rho,spearman_p,gamma_opt_J,ari_at_opt_J,gamma_opt_ARI,cost_at_opt_ARI,log10_distance,aligned
Heart Disease,0.8498093185497363,5.235641569503207e-29,0.0011497569953977356,0.2367026805117809,3.2745491628777286,3521.486453988657,3.4545454545454546,False
Credit Approval,0.8666710198997917,2.341866174850145e-31,0.001,0.07717332937701946,1.873817422860385,7250.422538665538,3.272727272727273,False
Bank Marketing,-0.6753331181659488,1.2944448419149824e-14,0.0013219411484660286,0.09122120527572035,0.007054802310718645,25360.649423128572,0.7272727272727275,True
