dataset,gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
Credit Approval,0.001,-3.0,3321.2405635157857,1.5374355318973356,0.07717332937701946,0.0020459425130663956
Credit Approval,0.0011497569953977356,-2.9393939393939394,3321.6265872994277,1.516378508758548,0.07681331256840344,0.0019919225593759116
Credit Approval,0.0013219411484660286,-2.878787878787879,3322.7943995089236,1.838598458076885,0.07580604791580987,0.0023117399177839636
Credit Approval,0.0015199110829529332,-2.8181818181818183,3388.768333836377,134.24817718896864,0.06330801817585816,0.029776564915389006
Credit Approval,0.001747528400007683,-2.757575757575758,3322.206112859521,0.09718113533849645,0.07783628382493665,0.0007200336172320188
Credit Approval,0.002009233002565048,-2.696969696969697,3322.836962378412,0.17859241558849134,0.07749519669421115,0.0014022078786829983
Credit Approval,0.0023101297000831605,-2.6363636363636362,3323.4261882235214,4.981507640924666e-13,0.07819630063355267,0.0
Credit Approval,0.0026560877829466868,-2.5757575757575757,3324.25545940368,0.0982714065968139,0.07783628382493665,0.0007200336172320188
Credit Approval,0.0030538555088334154,-2.515151515151515,3325.8807186333142,1.5548574221159925,0.07751099993087937,0.0013706014053465666
Credit Approval,0.003511191734215131,-2.4545454545454546,3326.982425635642,1.5257557414320813,0.0774953899828883,0.0013631316435286649
Credit Approval,0.004037017258596553,-2.393939393939394,3327.3203196679665,5.380643217995035e-13,0.07819630063355267,0.0
Credit Approval,0.004641588833612782,-2.333333333333333,3329.4610572806896,1.5548574221174931,0.07751099993087937,0.0013706014053465666
Credit Approval,0.005336699231206312,-2.2727272727272725,3331.0224223016908,1.5426395709774168,0.07717332937701946,0.0020459425130663956
Credit Approval,0.006135907273413176,-2.212121212121212,3333.210563334012,1.550504942615389,0.07892143319472332,0.0034305944081077246
Credit Approval,0.007054802310718645,-2.1515151515151514,3445.7562345489373,219.43159079177244,0.06498295810962293,0.032024895347991
Credit Approval,0.008111308307896872,-2.090909090909091,3337.661141864707,1.548633675638255,0.07892143319472333,0.0034305944081077246
Credit Approval,0.0093260334688322,-2.0303030303030303,3340.3979176522944,1.54750189472404,0.07892143319472332,0.003430594408107725
Credit Approval,0.010722672220103232,-1.9696969696969697,3343.5788187453013,0.8291593941346691,0.08241199047709342,0.003474047692794533
Credit Approval,0.012328467394420659,-1.9090909090909092,3347.4872711295757,0.7348657026610453,0.08383803368892845,0.002820866527687893
Credit Approval,0.014174741629268055,-1.8484848484848484,3351.685797440615,1.4423227902998004,0.08033186645856727,0.00420485003181172
Credit Approval,0.016297508346206444,-1.7878787878787878,3356.046211378814,0.8805787502950716,0.0824276004250845,0.003454841812665947
Credit Approval,0.01873817422860384,-1.7272727272727273,3363.2326059391244,1.4578928029417288,0.07685988073366586,0.004579814116829302
Credit Approval,0.021544346900318846,-1.6666666666666665,3367.9257778134315,1.5369260600776493,0.07892143319472332,0.0034305944081077246
Credit Approval,0.024770763559917114,-1.606060606060606,3374.4878796505423,0.6640402103668948,0.07959112394940553,0.0028288330153478612
Credit Approval,0.02848035868435802,-1.5454545454545454,3382.775183651813,0.6702581375051978,0.07960673389739661,0.002820866527687893
Credit Approval,0.03274549162877728,-1.4848484848484849,3459.8877160875445,135.65957342964083,0.06330801817585816,0.02977656491538901
Credit Approval,0.037649358067924674,-1.4242424242424243,3404.774095603084,2.030562587533379,0.07611855843528245,0.002544704101405347
Credit Approval,0.04328761281083059,-1.3636363636363635,3416.588071232276,0.9286717574682548,0.08245239536808154,0.005212684367529777
Credit Approval,0.049770235643321115,-1.303030303030303,3431.3828357372067,0.7696310514868686,0.08315272939086449,0.004257953038051153
