dataset,gamma,log10_gamma,cost_mean,cost_std,ari_mean,ari_std
German Credit,0.001,-3.0,5871.02475511416,0.2671466795413835,0.0755447370118571,0.003806645345957406
German Credit,0.0014251026703029977,-2.8461538461538463,5873.728230509965,0.18753559036940715,0.07119382619964956,0.0005442654662501378
German Credit,0.002030917620904735,-2.6923076923076925,5876.543231531652,0.03728854039354701,0.07527133205618575,0.00021992757679707015
German Credit,0.0028942661247167516,-2.5384615384615383,6040.903256517009,1.4380373887290168e-12,-0.01307279138702796,0.0
German Credit,0.004124626382901352,-2.3846153846153846,5967.516010167505,79.85977074449374,0.03080222111997298,0.0442491833594157
German Credit,0.0058780160722749115,-2.230769230769231,5973.575966786317,76.67074672792205,0.02983922263116591,0.04342306005900108
German Credit,0.008376776400682925,-2.0769230769230766,5989.31305150129,79.58247899576327,0.032357134641635976,0.04699424771617853
German Credit,0.01193776641714437,-1.923076923076923,5928.98775020416,6.431098710768743e-13,0.07505140447938868,0.0
German Credit,0.017012542798525893,-1.7692307692307692,5955.649454305078,0.18386295657637675,0.0772013934186016,0.0021499889392129143
German Credit,0.024244620170823284,-1.6153846153846154,5994.09100656113,6.431098710768743e-13,0.07505140447938868,0.0
German Credit,0.0345510729459222,-1.4615384615384615,6200.034114931572,6.431098710768743e-13,-0.013583837427835175,0.0
German Credit,0.04923882631706741,-1.3076923076923075,6126.214460802972,1.4380373887290168e-12,0.07393900047600994,0.0
German Credit,0.07017038286703829,-1.1538461538461537,6288.0572221266675,51.21948495710694,0.03613533082514907,0.03780366965086088
German Credit,0.1,-1.0,6394.601013013054,1.4380373887290168e-12,0.07350343154523152,0.0
German Credit,0.14251026703029993,-0.8461538461538458,6788.784704518703,24.32616888111079,-0.007384591538433925,0.006884014844792766
German Credit,0.2030917620904737,-0.6923076923076921,6992.4588451063155,53.427913929251645,0.03680315883423486,0.03847149765994667
German Credit,0.28942661247167517,-0.5384615384615383,7460.899284235404,66.4694939334272,0.03408575506292741,0.04833266791893891
German Credit,0.41246263829013524,-0.3846153846153846,8100.611322566432,58.29101434653421,0.03706859891847831,0.03873693774419012
German Credit,0.5878016072274912,-0.23076923076923084,8967.754333744862,4.41330162129816,0.06683597558711138,0.005486966074840276
German Credit,0.8376776400682924,-0.07692307692307668,10271.039845063071,4.982177707209303,0.06774658886913193,0.00256144969447452
German Credit,1.1937766417144369,0.07692307692307705,12278.604971911624,113.68577632515917,-0.005660237435547761,0.008114584375381168
German Credit,1.7012542798525891,0.23076923076923084,14751.911216297383,3.7050653385495025,0.013918335793405507,0.01355537721707641
German Credit,2.424462017082331,0.384615384615385,18320.094383942895,48.371146630695876,0.02137053646122761,0.011707816198057986
German Credit,3.4551072945922217,0.5384615384615388,23342.849687762195,4.8062117667632265,0.01044656965187197,0.001078955032942303
German Credit,4.923882631706742,0.6923076923076925,30482.8555555309,2.5724394843074972e-12,0.01266716402041032,0.0
German Credit,7.01703828670383,0.8461538461538463,40618.93267840255,5.1448789686149945e-12,0.011057007378426078,0.0
German Credit,10.0,1.0,55406.895834008246,352.96936293469844,0.019876675538052103,0.010119631426148249
German Credit,14.251026703029993,1.1538461538461542,75624.63771465627,0.006972379444050603,0.009983049040160721,0.00022600492825686734
German Credit,20.30917620904739,1.3076923076923084,104940.03014665395,0.0,0.009757044111903854,0.0
German Credit,28.942661247167518,1.4615384615384617,146717.46424611742,0.0,0.009757044111903854,0.0
German Credit,41.246263829013564,1.6153846153846159,206254.59713967028,0.0,0.009757044111903854,0.0
German Credit,58.780160722749116,1.7692307692307692,291101.1172360771,0.006972379196668044,0.009983049040160721,0.00022600492825686734
German Credit,83.76776400682924,1.9230769230769234,412016.1365001207,0.0,0.009757044111903854,0.0
German Credit,119.37766417144383,2.0769230769230775,584332.4433966904,0.0,0.009757044111903854,0.0
German Credit,170.1254279852589,2.230769230769231,829900.8655193625,0.00697237893473357,0.009983049040160721,0.00022600492825686734
German Credit,242.44620170823308,2.384615384615385,1179861.096537213,0.0,0.009757044111903854,0.0
German Credit,345.5107294592218,2.5384615384615383,1678590.3463242503,0.0,0.009757044111903854,0.0
German Credit,492.3882631706742,2.6923076923076925,2389330.724981588,0.006972379516810179,0.009983049040160721,0.00022600492825686734
German Credit,701.7038286703837,2.8461538461538467,3402208.7534070583,0.0,0.009757044111903854,0.0
German Credit,1000.0,3.0,4845663.926471074,0.0,0.009757044111903854,0.0
